"","assay","plate","row","col","n","n.sorted","mean.TOF","median.TOF","mean.EXT","median.EXT","mean.red","median.red","mean.green","median.green","mean.yellow","median.yellow","mean.norm.EXT","median.norm.EXT","mean.norm.red","median.norm.red","mean.norm.green","median.norm.green","mean.norm.yellow","median.norm.yellow"
"1","a","01","A","1",91,1,183.571428571429,162,95.0989010989011,74,6.79120879120879,4,13.2527472527473,7,3.83516483516484,2,0.497186599561675,0.464052287581699,0.0368001811594938,0.0306513409961686,0.0636557224952037,0.0522875816993464,0.0189160202949354,0.0159574468085106
"2","a","01","A","2",175,1,179.571428571429,167,85.68,69,6,4,11.7485714285714,7,3.14857142857143,2,0.452970738432839,0.415094339622642,0.0312592785778198,0.0267857142857143,0.0563586841553532,0.0425531914893617,0.0147766361058794,0.0128205128205128
"3","a","01","A","3",134,1,186.611940298507,173,106.716417910448,81,7.50746268656716,5,15.2985074626866,8,4.14925373134328,2,0.533617590338288,0.445707070707071,0.0367904710685248,0.0308013408386566,0.0701488181256626,0.0523218013208774,0.0189867080480633,0.0159365079365079
"4","a","01","A","4",12,1,127.75,100,70.1666666666667,70,9.91666666666667,1,12.4166666666667,2,3.66666666666667,1,0.585597633710385,0.563122362869198,0.0560194689282272,0.0204166666666667,0.0675948788638189,0.0290516704710521,0.0197406702695261,0.0104347826086957
"5","a","01","A","5",152,1,216.355263157895,198,115.236842105263,80,8.71052631578947,5,17.6842105263158,7,4.625,2,0.487567234793156,0.413786696395392,0.0390259308509486,0.0258065709634453,0.0658441500707292,0.0455576839752799,0.018009111584657,0.012424277501254
"6","a","01","A","6",170,1,213.664705882353,190,118.335294117647,88,8.58235294117647,5,17.4823529411765,8,4.74705882352941,2,0.525696311141332,0.471869499622831,0.0353854726925195,0.0297213736243513,0.0682265445199548,0.0529801324503311,0.0187126343002907,0.0144927536231884
"7","a","01","A","7",164,1,177.512195121951,163,86.469512195122,69,5.85365853658537,4,10.7682926829268,6,2.94512195121951,2,0.471441557716584,0.41952380952381,0.0315907134709819,0.0264608921434198,0.0544804743090396,0.0412414965986395,0.0147834242202056,0.0117647058823529
"8","a","01","A","8",11,1,75.3636363636364,45,40.5454545454545,11,2.09090909090909,2,1.90909090909091,1,0.454545454545455,0,0.44700345270298,0.278350515463918,0.0360279327786575,0.0227272727272727,0.0293868005561299,0.0264550264550265,0.00414548033104734,0
"9","a","01","A","9",145,1,205.268965517241,184,115.28275862069,81,10.1655172413793,5,20.1103448275862,8,5.8551724137931,2,0.507607458573753,0.448484848484848,0.0408688548186888,0.0310880829015544,0.0712138596412594,0.0507246376811594,0.0207323721359575,0.016
"10","a","01","A","10",173,1,215.28323699422,206,122.225433526012,90,9.28901734104046,6,19.514450867052,10,5.33526011560694,3,0.533793275278196,0.465863453815261,0.0408381464190472,0.0344827586206897,0.0793850525455881,0.0638297872340425,0.0218345421746946,0.0182926829268293
"11","a","01","A","11",185,1,208.243243243243,200,107.972972972973,84,7.91351351351351,5,15.0864864864865,8,4.19459459459459,2,0.494670380357433,0.437299035369775,0.0345886971461201,0.0286885245901639,0.0627094197485037,0.0531914893617021,0.0172534665057562,0.0141843971631206
"12","a","01","A","12",11,1,171,159,98.0909090909091,100,5.45454545454545,4,8.81818181818182,6,2.90909090909091,2,0.622511204826893,0.502145922746781,0.0280467355988337,0.0225988700564972,0.0416572162708865,0.0363636363636364,0.0152775378869707,0.0127388535031847
"13","a","01","B","1",137,1,244.627737226277,223,142.416058394161,127,11,7,24.007299270073,17,6.42335766423358,4,0.552264652345803,0.511961722488038,0.0400659767914083,0.0353982300884956,0.0842385378829003,0.072463768115942,0.0219904127430946,0.0176991150442478
"14","a","01","B","2",153,1,246.346405228758,218,140.777777777778,113,11.3790849673203,7,23.3202614379085,15,6.61437908496732,4,0.547358563941226,0.487414187643021,0.0417194435992417,0.0390243902439024,0.0818093179179813,0.0714285714285714,0.0224133608034452,0.0189873417721519
"15","a","01","B","3",103,1,265.834951456311,271,163.077669902913,152,13.2233009708738,10,27.2135922330097,23,7.67961165048544,6,0.59727108147783,0.565359477124183,0.0455590251418731,0.0428015564202335,0.0904071947016091,0.0871080139372822,0.025335770624533,0.0228758169934641
"16","a","01","B","4",11,1,94.2727272727273,45,55,13,5.36363636363636,3,5.72727272727273,2,2.09090909090909,1,0.445885093922666,0.274193548387097,0.0850872128553218,0.0552016985138004,0.0516020204535157,0.0555555555555556,0.0165871353862136,0.01
"17","a","01","B","5",165,1,206.939393939394,182,119.521212121212,80,9.63636363636364,5,20.8606060606061,8,5.47878787878788,2,0.511488135009238,0.469135802469136,0.0397109091102522,0.032258064516129,0.0754795045534416,0.0579710144927536,0.0194576524745328,0.0155902004454343
"18","a","01","B","6",128,1,182.2578125,183,95.4765625,79,6.6171875,5,13.4921875,8,3.6171875,2,0.50169037837492,0.446597157381471,0.0358160570128361,0.0302314955833079,0.0726731990935574,0.0606122448979592,0.0183534151180311,0.0154442456768038
"19","a","01","B","7",175,1,192.537142857143,165,102.6,74,7.32,5,14.5314285714286,7,3.99428571428571,2,0.495677145174563,0.455223880597015,0.0340787750115456,0.0296052631578947,0.0630490058230028,0.0466666666666667,0.0170645753303612,0.0134228187919463
"20","a","01","B","8",11,1,116,100,66.2727272727273,73,3.27272727272727,2,4.90909090909091,3,1.81818181818182,1,0.551860087017791,0.471264367816092,0.032863281701226,0.0229885057471264,0.0470472078917187,0.0395480225988701,0.0189827695158992,0.0114942528735632
"21","a","01","B","9",174,1,211.5,193,115.770114942529,88,8.45402298850575,5,17.9597701149425,8,4.70689655172414,2,0.511939581333454,0.452371791348321,0.0379139266532241,0.0304292491033206,0.0711644467731415,0.0527385537013265,0.0188494397053521,0.0149253731343284
